t,u0,u1,y0,y1,yT0,yT1
0.608,1,0,0.00032661,5.4223e-05,0.00033282,7.3461e-05
0.61,1,0,0.00032699,5.4433e-05,0.00031664,5.656e-05
0.612,1,0,0.00032738,5.4643e-05,0.00033204,3.5779e-05
0.614,1,0,0.00032777,5.4852e-05,0.0003308,4.133e-05
0.616,1,0,0.00032818,5.5059e-05,0.00034877,6.3684e-05
0.618,1,0,0.00032859,5.5265e-05,0.00031439,6.3349e-05
0.62,1,0,0.00032901,5.5469e-05,0.00033351,5.2462e-05
0.622,1,0,0.00032944,5.5672e-05,0.00032202,7.3297e-05
0.624,1,0,0.00032988,5.5873e-05,0.00031173,5.7127e-05
0.626,1,0,0.00033032,5.6073e-05,0.00031299,6.222e-05
0.628,1,0,0.00033077,5.627e-05,0.00033882,6.871e-05
0.63,1,0,0.00033122,5.6466e-05,0.00032568,4.0119e-05
0.632,1,0,0.00033168,5.666e-05,0.00034787,5.0805e-05
0.634,1,0,0.00033214,5.6852e-05,0.0003222,5.2264e-05
0.636,1,0,0.0003326,5.7041e-05,0.00034639,2.8109e-05
0.638,1,0,0.00033308,5.7229e-05,0.00032533,7.8531e-05
0.64,1,0,0.00033355,5.7414e-05,0.00028516,4.5057e-05
0.642,1,0,0.00033403,5.7597e-05,0.00032213,6.413e-05
0.644,1,0,0.00033451,5.7777e-05,0.00034973,8.315e-05
0.646,1,0,0.00033499,5.7955e-05,0.0003452,5.314e-05
0.648,1,0,0.00033548,5.813e-05,0.00032399,7.3323e-05
0.65,1,0,0.00033597,5.8303e-05,0.00035641,6.9095e-05
0.652,1,0,0.00033646,5.8473e-05,0.00032998,4.9912e-05
0.654,1,0,0.00033695,5.864e-05,0.00035165,7.7619e-05
0.656,1,0,0.00033744,5.8805e-05,0.00033748,4.0732e-05
0.658,1,0,0.00033793,5.8967e-05,0.00034217,7.3181e-05
0.66,1,0,0.00033843,5.9125e-05,0.00033563,8.2319e-05
0.662,1,0,0.00033892,5.9281e-05,0.00034231,4.5874e-05
0.664,1,0,0.00033941,5.9434e-05,0.00033486,6.8781e-05
0.666,1,0,0.00033991,5.9584e-05,0.00034277,7.0992e-05
0.668,1,0,0.0003404,5.9731e-05,0.00036417,5.517e-05
0.67,1,0,0.00034089,5.9875e-05,0.0003143,5.7256e-05
0.672,1,0,0.00034138,6.0016e-05,0.00035016,4.9329e-05
0.674,1,0,0.00034187,6.0154e-05,0.00034046,6.5222e-05
0.676,1,0,0.00034235,6.0288e-05,0.00034001,5.3955e-05
0.678,1,0,0.00034284,6.042e-05,0.00032485,5.8354e-05
0.68,1,0,0.00034332,6.0548e-05,0.00035307,5.7726e-05
0.682,1,0,0.0003438,6.0673e-05,0.00034553,5.342e-05
0.684,1,0,0.00034428,6.0794e-05,0.00034444,6.7477e-05
0.686,1,0,0.00034475,6.0913e-05,0.00035785,4.9736e-05
0.688,1,0,0.00034522,6.1028e-05,0.00032941,7.0448e-05
0.69,1,0,0.00034569,6.1139e-05,0.00034139,6.8441e-05
0.692,1,0,0.00034615,6.1248e-05,0.00039037,4.3919e-05
0.694,1,0,0.00034661,6.1353e-05,0.0003428,4.1305e-05
0.696,1,0,0.00034707,6.1455e-05,0.00036599,7.7479e-05
0.698,1,0,0.00034752,6.1554e-05,0.00036764,6.3955e-05
0.7,1,0,0.00034796,6.1649e-05,0.00033974,6.5582e-05
0.702,1,0,0.0003484,6.1741e-05,0.00034551,6.2516e-05
0.704,1,0,0.00034884,6.183e-05,0.0003444,5.7244e-05
0.706,1,0,0.00034927,6.1915e-05,0.0003863,7.2961e-05
0.708,1,0,0.0003497,6.1997e-05,0.00037022,5.6344e-05
0.71,1,0,0.00035012,6.2076e-05,0.0003514,5.1414e-05
0.712,1,0,0.00035053,6.2151e-05,0.00035513,4.5616e-05
0.714,1,0,0.00035094,6.2223e-05,0.00033781,4.6307e-05
0.716,1,0,0.00035135,6.2292e-05,0.00034714,8.5941e-05
0.718,1,0,0.00035174,6.2358e-05,0.00037022,5.1377e-05
0.72,1,0,0.00035213,6.242e-05,0.00033849,5.2996e-05
0.722,1,0,0.00035252,6.2479e-05,0.00034682,7.0963e-05
0.724,1,0,0.0003529,6.2535e-05,0.00035985,9.6741e-05
0.726,1,0,0.00035327,6.2588e-05,0.00035078,6.594e-05
0.728,1,0,0.00035363,6.2638e-05,0.00035592,7.6157e-05
0.73,1,0,0.00035399,6.2684e-05,0.00035964,2.9364e-05
0.732,1,0,0.00035435,6.2728e-05,0.00033315,6.1535e-05
0.734,1,0,0.00035469,6.2768e-05,0.00030449,5.4626e-05
0.736,1,0,0.00035503,6.2806e-05,0.00036597,6.7414e-05
0.738,1,0,0.00035536,6.284e-05,0.00035586,5.5014e-05
0.74,1,0,0.00035568,6.2871e-05,0.0003665,9.1623e-05
0.742,1,0,0.000356,6.29e-05,0.0003598,6.7548e-05
0.744,1,0,0.00035631,6.2925e-05,0.00037223,6.2317e-05
0.746,1,0,0.00035661,6.2948e-05,0.00035203,7.6916e-05
0.748,1,0,0.0003569,6.2968e-05,0.00033268,7.2685e-05
0.75,1,0,0.00035719,6.2985e-05,0.0003548,7.7249e-05
0.752,1,0,0.00035747,6.2999e-05,0.0003728,6.3638e-05
0.754,1,0,0.00035774,6.301e-05,0.00032834,6.8974e-05
0.756,1,0,0.00035801,6.3019e-05,0.00037315,7.8405e-05
